"","Subject","IQquartile","Income2005"
"257",669,"4thQuartile",29000
"258",671,"4thQuartile",10000
"259",674,"1stQuartile",50000
"260",675,"1stQuartile",8400
"261",679,"1stQuartile",20000
"262",681,"1stQuartile",5000
"263",683,"2ndQuartile",52000
"264",684,"1stQuartile",72000
"265",686,"4thQuartile",57000
"266",688,"2ndQuartile",23000
"267",692,"2ndQuartile",45000
"268",697,"1stQuartile",50000
"269",701,"1stQuartile",9800
"270",703,"2ndQuartile",3000
"271",704,"2ndQuartile",56000
"272",707,"1stQuartile",48000
"273",709,"1stQuartile",41167
"274",711,"2ndQuartile",40000
"275",712,"4thQuartile",41000
"276",713,"1stQuartile",11000
"277",714,"1stQuartile",20000
"278",717,"1stQuartile",40000
"279",719,"1stQuartile",48000
"280",720,"2ndQuartile",35000
"281",721,"1stQuartile",22000
"282",722,"2ndQuartile",57500
"283",723,"1stQuartile",25000
"284",724,"4thQuartile",20000
"285",725,"4thQuartile",74000
"286",728,"1stQuartile",30000
"287",730,"3rdQuartile",100000
"288",731,"2ndQuartile",40000
"289",732,"2ndQuartile",35000
"290",733,"1stQuartile",28820
"291",745,"2ndQuartile",41000
"292",746,"3rdQuartile",35500
"293",747,"3rdQuartile",50300
"294",748,"1stQuartile",34000
"295",751,"1stQuartile",55000
"296",752,"4thQuartile",120000
"297",755,"2ndQuartile",37000
"298",756,"1stQuartile",26000
"299",757,"1stQuartile",35000
"300",758,"1stQuartile",20000
"301",761,"2ndQuartile",25000
"302",762,"2ndQuartile",12000
"303",763,"2ndQuartile",23000
"304",764,"2ndQuartile",21000
"305",769,"2ndQuartile",3000
"306",772,"2ndQuartile",74000
"307",774,"2ndQuartile",35000
"308",776,"4thQuartile",115000
"309",777,"4thQuartile",85000
"310",778,"4thQuartile",30000
"311",779,"3rdQuartile",26000
"312",784,"2ndQuartile",30000
"313",789,"2ndQuartile",15000
"314",792,"1stQuartile",30000
"315",793,"3rdQuartile",30000
"316",796,"4thQuartile",58000
"317",797,"3rdQuartile",72000
"318",799,"2ndQuartile",53000
"319",800,"2ndQuartile",54000
"320",801,"1stQuartile",19327
"321",802,"1stQuartile",30000
"322",804,"2ndQuartile",16000
"323",806,"1stQuartile",35000
"324",807,"3rdQuartile",70000
"325",810,"4thQuartile",115000
"326",811,"3rdQuartile",16000
"327",812,"4thQuartile",10500
"328",813,"4thQuartile",33000
"329",814,"1stQuartile",16000
"330",815,"3rdQuartile",23400
"331",816,"2ndQuartile",29000
"332",817,"4thQuartile",117000
"333",818,"2ndQuartile",85000
"334",820,"2ndQuartile",85000
"335",821,"4thQuartile",34000
"336",825,"4thQuartile",73000
"337",827,"4thQuartile",169541
"338",829,"2ndQuartile",66000
"339",832,"2ndQuartile",20000
"340",835,"1stQuartile",25000
"341",839,"1stQuartile",30000
"342",843,"2ndQuartile",3000
"343",847,"1stQuartile",67500
"344",849,"2ndQuartile",20000
"345",850,"4thQuartile",85000
"346",851,"2ndQuartile",48000
"347",854,"2ndQuartile",22000
"348",856,"4thQuartile",25000
"349",859,"1stQuartile",46000
"350",860,"3rdQuartile",37500
"351",861,"2ndQuartile",29000
"352",862,"2ndQuartile",25000
"353",863,"2ndQuartile",125000
"354",866,"1stQuartile",36000
"355",872,"3rdQuartile",176354
"356",874,"4thQuartile",90000
"357",875,"1stQuartile",40000
"358",878,"3rdQuartile",50000
"359",879,"4thQuartile",52900
"360",881,"4thQuartile",8000
"361",882,"3rdQuartile",42000
"362",883,"3rdQuartile",30000
"363",884,"4thQuartile",52000
"364",885,"4thQuartile",37000
"365",888,"1stQuartile",50000
"366",889,"2ndQuartile",24000
"367",890,"4thQuartile",183306
"368",891,"2ndQuartile",36000
"369",896,"4thQuartile",15000
"370",898,"4thQuartile",40000
"371",899,"4thQuartile",31000
"372",902,"4thQuartile",64320
"373",906,"4thQuartile",90000
"374",907,"4thQuartile",7000
"375",908,"4thQuartile",37000
"376",909,"3rdQuartile",31330
"377",912,"4thQuartile",34000
"378",914,"3rdQuartile",71500
"379",915,"4thQuartile",57000
"380",916,"4thQuartile",20000
"381",920,"4thQuartile",120000
"382",921,"1stQuartile",65000
"383",922,"2ndQuartile",90000
"384",929,"3rdQuartile",42000
"385",932,"1stQuartile",30000
"386",935,"2ndQuartile",9800
"387",936,"3rdQuartile",15000
"388",937,"4thQuartile",75000
"389",938,"1stQuartile",38500
"390",941,"2ndQuartile",80000
"391",942,"2ndQuartile",43000
"392",944,"4thQuartile",54000
"393",945,"2ndQuartile",37300
"394",947,"3rdQuartile",64000
"395",949,"3rdQuartile",70000
"396",950,"4thQuartile",30000
"397",951,"2ndQuartile",72000
"398",952,"3rdQuartile",23600
"399",955,"2ndQuartile",40000
"400",956,"2ndQuartile",15000
"401",958,"2ndQuartile",35000
"402",959,"4thQuartile",170247
"403",960,"4thQuartile",150000
"404",961,"4thQuartile",140000
"405",962,"3rdQuartile",45500
"406",963,"2ndQuartile",65000
"407",964,"1stQuartile",48000
"408",966,"1stQuartile",44000
"409",967,"1stQuartile",56000
"410",968,"2ndQuartile",65000
"411",969,"2ndQuartile",31000
"412",970,"3rdQuartile",110000
"413",971,"2ndQuartile",3000
"414",972,"3rdQuartile",38000
"415",973,"3rdQuartile",42000
"416",974,"3rdQuartile",55000
"417",976,"3rdQuartile",51000
"418",990,"3rdQuartile",39000
"419",996,"1stQuartile",60000
"420",997,"4thQuartile",46000
"421",999,"3rdQuartile",27000
"422",1003,"3rdQuartile",70000
"423",1004,"1stQuartile",56000
"424",1007,"2ndQuartile",125000
"425",1011,"2ndQuartile",45000
"426",1013,"4thQuartile",25000
"427",1019,"4thQuartile",29000
"428",1020,"4thQuartile",84000
"429",1029,"1stQuartile",17000
"430",1034,"1stQuartile",23000
"431",1038,"3rdQuartile",24000
"432",1039,"3rdQuartile",44000
"433",1042,"1stQuartile",26000
"434",1043,"1stQuartile",16000
"435",1044,"1stQuartile",25000
"436",1046,"3rdQuartile",63
"437",1048,"1stQuartile",13000
"438",1049,"4thQuartile",51000
"439",1051,"4thQuartile",67000
"440",1052,"4thQuartile",183467
"441",1053,"3rdQuartile",394058
"442",1056,"1stQuartile",24000
"443",1058,"2ndQuartile",47000
"444",1060,"2ndQuartile",12000
"445",1062,"3rdQuartile",115000
"446",1063,"2ndQuartile",20518
"447",1065,"3rdQuartile",20160
"448",1068,"1stQuartile",12000
"449",1071,"1stQuartile",12649
"450",1072,"2ndQuartile",65000
"451",1076,"2ndQuartile",40000
"452",1078,"4thQuartile",61000
"453",1080,"3rdQuartile",7500
"454",1081,"3rdQuartile",38262
"455",1082,"3rdQuartile",70000
"456",1085,"3rdQuartile",36000
"457",1086,"3rdQuartile",67500
"458",1089,"1stQuartile",35000
"459",1090,"1stQuartile",1300
"460",1091,"2ndQuartile",24000
"461",1092,"3rdQuartile",15000
"462",1093,"2ndQuartile",35000
"463",1096,"1stQuartile",48000
"464",1097,"4thQuartile",59000
"465",1098,"4thQuartile",108000
"466",1101,"4thQuartile",50000
"467",1102,"2ndQuartile",429
"468",1104,"2ndQuartile",90000
"469",1105,"3rdQuartile",61000
"470",1106,"4thQuartile",35000
"471",1111,"2ndQuartile",44000
"472",1114,"2ndQuartile",50000
"473",1116,"2ndQuartile",30000
"474",1118,"1stQuartile",80000
"475",1122,"4thQuartile",37000
"476",1130,"2ndQuartile",5000
"477",1134,"3rdQuartile",53000
"478",1138,"3rdQuartile",58000
"479",1139,"3rdQuartile",60000
"480",1141,"1stQuartile",30000
"481",1143,"4thQuartile",180124
"482",1144,"4thQuartile",248713
"483",1147,"3rdQuartile",6500
"484",1148,"1stQuartile",31000
"485",1153,"1stQuartile",2300
"486",1155,"1stQuartile",52000
"487",1156,"2ndQuartile",25000
"488",1157,"3rdQuartile",63000
"489",1158,"1stQuartile",31000
"490",1159,"2ndQuartile",30000
"491",1160,"2ndQuartile",20000
"492",1163,"1stQuartile",25000
"493",1166,"2ndQuartile",20609
"494",1169,"2ndQuartile",130000
"495",1176,"3rdQuartile",77000
"496",1179,"3rdQuartile",35000
"497",1181,"3rdQuartile",150000
"498",1182,"4thQuartile",48000
"499",1184,"4thQuartile",95000
"500",1185,"4thQuartile",268384
"501",1186,"3rdQuartile",140000
"502",1187,"4thQuartile",39000
"503",1188,"4thQuartile",130000
"504",1200,"2ndQuartile",9000
"505",1208,"4thQuartile",120000
"506",1221,"1stQuartile",16200
"507",1222,"1stQuartile",38000
"508",1223,"1stQuartile",15000
"509",1224,"1stQuartile",12000
"510",1233,"2ndQuartile",42000
"511",1237,"1stQuartile",24000
"512",1238,"2ndQuartile",62000
"513",1240,"3rdQuartile",52000
"514",1247,"1stQuartile",8000
"515",1249,"3rdQuartile",80000
"516",1250,"1stQuartile",17000
"517",1251,"2ndQuartile",31000
"518",1252,"2ndQuartile",16000
"519",1253,"2ndQuartile",21600
"520",1255,"4thQuartile",87000
"521",1256,"1stQuartile",50000
"522",1257,"2ndQuartile",23000
"523",1258,"3rdQuartile",3000
"524",1260,"1stQuartile",35000
"525",1261,"3rdQuartile",50000
"526",1268,"4thQuartile",90000
"527",1272,"2ndQuartile",39000
"528",1273,"3rdQuartile",24000
"529",1276,"4thQuartile",46000
"530",1279,"4thQuartile",24000
"531",1286,"1stQuartile",32000
"532",1287,"1stQuartile",50000
"533",1288,"1stQuartile",21000
"534",1290,"2ndQuartile",36000
"535",1291,"1stQuartile",16000
"536",1293,"2ndQuartile",36000
"537",1294,"2ndQuartile",209138
"538",1301,"1stQuartile",25000
"539",1311,"2ndQuartile",130000
"540",1312,"2ndQuartile",18000
"541",1315,"3rdQuartile",257286
"542",1318,"1stQuartile",37000
"543",1319,"1stQuartile",43000
"544",1320,"4thQuartile",78000
"545",1321,"2ndQuartile",56000
"546",1323,"4thQuartile",42000
"547",1325,"4thQuartile",80000
"548",1327,"3rdQuartile",53000
"549",1338,"3rdQuartile",42000
"550",1344,"3rdQuartile",72000
"551",1347,"2ndQuartile",157280
"552",1351,"2ndQuartile",13000
"553",1353,"2ndQuartile",20000
"554",1357,"1stQuartile",38000
"555",1359,"3rdQuartile",40000
"556",1360,"1stQuartile",27000
"557",1362,"4thQuartile",70000
"558",1366,"2ndQuartile",29800
"559",1367,"4thQuartile",16000
"560",1368,"4thQuartile",39000
"561",1374,"3rdQuartile",15700
"562",1383,"1stQuartile",80000
"563",1384,"1stQuartile",26000
"564",1385,"2ndQuartile",34000
"565",1386,"1stQuartile",52000
"566",1393,"3rdQuartile",79000
"567",1394,"3rdQuartile",62000
"568",1395,"2ndQuartile",63000
"569",1397,"1stQuartile",45000
"570",1399,"3rdQuartile",45000
"571",1411,"2ndQuartile",16000
"572",1413,"1stQuartile",19000
"573",1416,"1stQuartile",12000
"574",1417,"1stQuartile",31000
"575",1418,"3rdQuartile",41000
"576",1419,"1stQuartile",22000
"577",1425,"3rdQuartile",38000
"578",1426,"2ndQuartile",38685
"579",1429,"4thQuartile",30000
"580",1432,"1stQuartile",42000
"581",1433,"2ndQuartile",50000
"582",1434,"1stQuartile",31980
"583",1436,"1stQuartile",10000
"584",1438,"1stQuartile",27000
"585",1440,"1stQuartile",22000
"586",1455,"1stQuartile",25000
"587",1459,"4thQuartile",40000
"588",1462,"2ndQuartile",28600
"589",1468,"2ndQuartile",29000
"590",1470,"3rdQuartile",35000
"591",1471,"1stQuartile",50000
"592",1477,"2ndQuartile",70000
"593",1479,"4thQuartile",100000
"594",1481,"2ndQuartile",71000
"595",1484,"1stQuartile",40000
"596",1487,"2ndQuartile",45000
"597",1490,"1stQuartile",25000
"598",1491,"1stQuartile",39000
"599",1492,"4thQuartile",45000
"600",1493,"3rdQuartile",245549
"601",1495,"1stQuartile",15000
"602",1499,"2ndQuartile",16000
"603",1500,"1stQuartile",50000
"604",1501,"4thQuartile",60000
"605",1502,"4thQuartile",12000
"606",1503,"4thQuartile",58000
"607",1506,"4thQuartile",42000
"608",1507,"3rdQuartile",22000
"609",1508,"4thQuartile",35000
"610",1509,"4thQuartile",25000
"611",1510,"3rdQuartile",26000
"612",1512,"4thQuartile",15000
"613",1514,"2ndQuartile",51000
"614",1515,"2ndQuartile",67000
"615",1516,"1stQuartile",23300
"616",1521,"1stQuartile",41000
"617",1522,"3rdQuartile",51300
"618",1527,"1stQuartile",28000
"619",1529,"2ndQuartile",23000
"620",1530,"1stQuartile",28000
"621",1531,"2ndQuartile",26000
"622",1532,"3rdQuartile",17407
"623",1534,"1stQuartile",52000
"624",1538,"1stQuartile",45000
"625",1539,"3rdQuartile",30000
"626",1541,"1stQuartile",41400
"627",1547,"2ndQuartile",85000
"628",1548,"2ndQuartile",4000
"629",1551,"1stQuartile",19000
"630",1552,"1stQuartile",9200
"631",1553,"4thQuartile",40000
"632",1554,"2ndQuartile",59000
"633",1555,"3rdQuartile",28352
"634",1556,"3rdQuartile",32176
"635",1558,"3rdQuartile",12000
"636",1560,"1stQuartile",19000
"637",1564,"4thQuartile",3400
"638",1566,"3rdQuartile",39100
"639",1568,"4thQuartile",6000
"640",1569,"3rdQuartile",63000
"641",1571,"3rdQuartile",45000
"642",1574,"4thQuartile",47000
"643",1575,"2ndQuartile",171551
"644",1577,"3rdQuartile",59000
"645",1580,"1stQuartile",56000
"646",1585,"2ndQuartile",60000
"647",1586,"3rdQuartile",54000
"648",1587,"4thQuartile",27300
"649",1590,"1stQuartile",16000
"650",1591,"2ndQuartile",7000
"651",1592,"1stQuartile",10000
"652",1593,"1stQuartile",17000
"653",1595,"2ndQuartile",120000
"654",1597,"3rdQuartile",52000
"655",1598,"3rdQuartile",35000
"656",1599,"2ndQuartile",24000
"657",1601,"2ndQuartile",368302
"658",1602,"2ndQuartile",90000
"659",1603,"2ndQuartile",20000
"660",1605,"2ndQuartile",40000
"661",1607,"2ndQuartile",19200
"662",1608,"3rdQuartile",11040
"663",1610,"1stQuartile",18000
"664",1617,"1stQuartile",20000
"665",1619,"3rdQuartile",65000
"666",1621,"4thQuartile",35942
"667",1622,"2ndQuartile",60000
"668",1626,"4thQuartile",73000
"669",1627,"2ndQuartile",20000
"670",1629,"3rdQuartile",100000
"671",1631,"4thQuartile",85000
"672",1632,"4thQuartile",100035
"673",1633,"4thQuartile",100000
"674",1635,"2ndQuartile",40000
"675",1636,"2ndQuartile",56000
"676",1637,"3rdQuartile",15000
"677",1640,"2ndQuartile",48000
"678",1641,"3rdQuartile",110000
"679",1642,"1stQuartile",75000
"680",1644,"2ndQuartile",9400
"681",1651,"3rdQuartile",153334
"682",1656,"2ndQuartile",33000
"683",1659,"3rdQuartile",26000
"684",1670,"4thQuartile",105000
"685",1719,"2ndQuartile",60000
"686",1720,"1stQuartile",45000
"687",1721,"1stQuartile",80000
"688",1725,"1stQuartile",25000
"689",1729,"1stQuartile",24000
"690",1730,"3rdQuartile",52000
"691",1733,"4thQuartile",115000
"692",1735,"3rdQuartile",3000
"693",1739,"4thQuartile",10000
"694",1740,"2ndQuartile",19000
"695",1744,"3rdQuartile",60000
"696",1746,"4thQuartile",116000
"697",1750,"2ndQuartile",44000
"698",1751,"1stQuartile",35000
"699",1758,"1stQuartile",13000
"700",1763,"3rdQuartile",22000
"701",1766,"4thQuartile",12000
"702",1768,"2ndQuartile",8000
"703",1769,"1stQuartile",29515
"704",1775,"2ndQuartile",34000
"705",1778,"2ndQuartile",8000
"706",1779,"1stQuartile",74000
"707",1780,"3rdQuartile",40000
"708",1781,"2ndQuartile",100000
"709",1784,"4thQuartile",45000
"710",1785,"1stQuartile",29000
"711",1786,"2ndQuartile",46800
"712",1787,"2ndQuartile",52000
"713",1788,"3rdQuartile",56856
"714",1790,"3rdQuartile",34000
"715",1792,"4thQuartile",15000
"716",1795,"2ndQuartile",108888
"717",1797,"2ndQuartile",3040
"718",1798,"4thQuartile",27100
"719",1802,"3rdQuartile",27915
"720",1803,"3rdQuartile",36000
"721",1804,"4thQuartile",12000
"722",1808,"4thQuartile",125000
"723",1810,"2ndQuartile",155867
"724",1819,"4thQuartile",29000
"725",1820,"1stQuartile",8000
"726",1824,"1stQuartile",19000
"727",1826,"3rdQuartile",45000
"728",1831,"1stQuartile",64000
"729",1835,"1stQuartile",40000
"730",1836,"2ndQuartile",50000
"731",1837,"1stQuartile",32000
"732",1838,"1stQuartile",17000
"733",1839,"1stQuartile",18000
"734",1841,"4thQuartile",85000
"735",1844,"4thQuartile",188404
"736",1846,"3rdQuartile",192896
"737",1847,"3rdQuartile",68000
"738",1848,"1stQuartile",46000
"739",1858,"3rdQuartile",68000
"740",1860,"2ndQuartile",29000
"741",1862,"2ndQuartile",900
"742",1863,"3rdQuartile",20000
"743",1865,"1stQuartile",28000
"744",1866,"2ndQuartile",25000
"745",1867,"4thQuartile",52000
"746",1868,"2ndQuartile",26500
"747",1869,"1stQuartile",14000
"748",1872,"1stQuartile",35000
"749",1873,"1stQuartile",22000
"750",1875,"4thQuartile",130000
"751",1878,"1stQuartile",8000
"752",1880,"4thQuartile",30000
"753",1881,"2ndQuartile",40000
"754",1884,"2ndQuartile",12500
"755",1885,"3rdQuartile",35000
"756",1887,"1stQuartile",11000
"757",1889,"2ndQuartile",35675
"758",1890,"1stQuartile",18000
"759",1891,"2ndQuartile",26800
"760",1895,"4thQuartile",83000
"761",1896,"4thQuartile",28000
"762",1899,"1stQuartile",32000
"763",1902,"2ndQuartile",40574
"764",1904,"4thQuartile",26000
"765",1905,"3rdQuartile",45000
"766",1906,"4thQuartile",25000
"767",1910,"2ndQuartile",55000
"768",1912,"2ndQuartile",25000
"769",1913,"2ndQuartile",14103
"770",1914,"4thQuartile",48000
"771",1916,"3rdQuartile",74481
"772",1917,"1stQuartile",48000
"773",1918,"3rdQuartile",68000
"774",1920,"3rdQuartile",2000
"775",1924,"2ndQuartile",65000
"776",1925,"3rdQuartile",44000
"777",1926,"2ndQuartile",16000
"778",1927,"2ndQuartile",21455
"779",1929,"4thQuartile",81000
"780",1930,"4thQuartile",45000
"781",1944,"4thQuartile",86000
"782",1947,"2ndQuartile",16000
"783",1950,"3rdQuartile",22000
"784",1951,"2ndQuartile",42000
"785",1952,"2ndQuartile",85000
"786",1953,"4thQuartile",24000
"787",1954,"4thQuartile",4000
"788",1955,"4thQuartile",60000
"789",1957,"1stQuartile",47000
"790",1958,"4thQuartile",45000
"791",1959,"1stQuartile",36000
"792",1961,"2ndQuartile",100000
"793",1962,"1stQuartile",25000
"794",1963,"3rdQuartile",67000
"795",1964,"1stQuartile",30000
"796",1965,"2ndQuartile",25000
"797",1966,"4thQuartile",42000
"798",1967,"3rdQuartile",40000
"799",1971,"2ndQuartile",65000
"800",1975,"4thQuartile",41000
"801",1976,"3rdQuartile",36000
"802",1977,"2ndQuartile",50000
"803",1978,"1stQuartile",48000
"804",1985,"3rdQuartile",25000
"805",1986,"3rdQuartile",23000
"806",1988,"1stQuartile",46000
"807",1990,"3rdQuartile",26000
"808",1992,"1stQuartile",68000
"809",1994,"3rdQuartile",28000
"810",1995,"2ndQuartile",3000
"811",1996,"2ndQuartile",32000
"812",1998,"3rdQuartile",9724
"813",1999,"3rdQuartile",46000
"814",2002,"2ndQuartile",12000
"815",2003,"1stQuartile",8000
"816",2005,"4thQuartile",78000
"817",2007,"4thQuartile",143000
"818",2010,"3rdQuartile",12000
"819",2011,"3rdQuartile",25000
"820",2012,"2ndQuartile",32000
"821",2013,"4thQuartile",9200
"822",2014,"2ndQuartile",27000
